CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.679688 1691666605.7681
MEM 9.578125 1691666605.8685
MEM 15.843750 1691666605.9788
MEM 20.445312 1691666606.0824
MEM 25.667969 1691666606.1919
MEM 30.160156 1691666606.3013
MEM 35.085938 1691666606.4107
MEM 36.101562 1691666606.5172
MEM 40.257812 1691666606.6205
MEM 45.812500 1691666606.7329
MEM 64.089844 1691666606.8423
MEM 78.640625 1691666606.9517
MEM 86.250000 1691666607.0620
MEM 104.582031 1691666607.1703
MEM 111.187500 1691666607.2748
MEM 122.042969 1691666607.3810
MEM 129.500000 1691666607.4913
MEM 132.796875 1691666607.6026
MEM 137.894531 1691666607.7125
MEM 140.765625 1691666607.8220
MEM 142.636719 1691666607.9315
MEM 145.714844 1691666608.0412
MEM 148.753906 1691666608.1470
MEM 153.839844 1691666608.2578
MEM 159.792969 1691666608.3684
MEM 165.394531 1691666608.4794
MEM 168.136719 1691666608.5907
MEM 173.753906 1691666608.6971
MEM 181.015625 1691666608.8082
MEM 186.078125 1691666608.9196
MEM 189.781250 1691666609.0331
MEM 191.625000 1691666609.1388
MEM 192.183594 1691666609.2529
MEM 192.570312 1691666609.3644
MEM 193.078125 1691666609.4760
MEM 193.273438 1691666609.5873
MEM 211.515625 1691666609.6978
MEM 232.093750 1691666609.8029
MEM 259.828125 1691666609.9138
MEM 276.257812 1691666610.0251
MEM 291.968750 1691666610.1404
MEM 291.968750 1691666610.2484
MEM 291.972656 1691666610.3512
MEM 291.972656 1691666610.4614
MEM 291.972656 1691666610.5708
MEM 291.972656 1691666610.6802
MEM 291.972656 1691666610.7834
MEM 291.972656 1691666610.8937
MEM 291.972656 1691666611.0064
MEM 291.972656 1691666611.1186
MEM 291.972656 1691666611.2243
MEM 291.972656 1691666611.3290
MEM 291.972656 1691666611.4324
MEM 291.972656 1691666611.5442
MEM 291.972656 1691666611.6522
MEM 291.972656 1691666611.7564
MEM 291.972656 1691666611.8633
MEM 291.972656 1691666611.9753
MEM 291.972656 1691666612.0870
MEM 291.972656 1691666612.2002
MEM 291.972656 1691666612.3100
MEM 291.972656 1691666612.4238
MEM 291.972656 1691666612.5353
MEM 291.972656 1691666612.6453
MEM 291.972656 1691666612.7565
MEM 291.972656 1691666612.8682
MEM 291.972656 1691666612.9746
MEM 291.972656 1691666613.0863
MEM 291.972656 1691666613.1972
MEM 291.972656 1691666613.3084
MEM 291.972656 1691666613.4094
MEM 291.972656 1691666613.5241
MEM 291.972656 1691666613.6274
MEM 291.972656 1691666613.7383
MEM 291.972656 1691666613.8489
MEM 291.972656 1691666613.9517
MEM 291.972656 1691666614.0563
MEM 291.972656 1691666614.1690
MEM 291.972656 1691666614.2803
MEM 291.972656 1691666614.3922
MEM 291.972656 1691666614.4992
MEM 291.972656 1691666614.6083
MEM 291.972656 1691666614.7178
MEM 291.972656 1691666614.8274
MEM 291.972656 1691666614.9372
MEM 291.972656 1691666615.0418
MEM 291.972656 1691666615.1653
MEM 291.972656 1691666615.2759
MEM 291.972656 1691666615.3886
MEM 291.972656 1691666615.5016
MEM 291.972656 1691666615.6120
MEM 291.972656 1691666615.7239
MEM 291.972656 1691666615.8365
MEM 291.972656 1691666615.9482
MEM 291.972656 1691666616.0590
MEM 291.972656 1691666616.1718
MEM 291.972656 1691666616.2843
MEM 291.972656 1691666616.3950
MEM 291.972656 1691666616.5078
MEM 291.972656 1691666616.6322
MEM 291.972656 1691666616.7429
MEM 291.972656 1691666616.8560
MEM 291.972656 1691666616.9687
MEM 291.972656 1691666617.0821
MEM 291.972656 1691666617.1893
MEM 291.972656 1691666617.2989
MEM 291.972656 1691666617.4092
MEM 291.972656 1691666617.5189
MEM 291.972656 1691666617.6282
MEM 291.972656 1691666617.7407
MEM 291.972656 1691666617.8534
MEM 291.972656 1691666617.9653
MEM 291.972656 1691666618.0773
MEM 291.972656 1691666618.1900
