CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe memtest.py
MEM 1.671875 1691926351.1217
MEM 9.519531 1691926351.2284
MEM 15.617188 1691926351.3437
MEM 20.277344 1691926351.4545
MEM 23.414062 1691926351.5654
MEM 26.156250 1691926351.6731
MEM 28.882812 1691926351.7800
MEM 30.660156 1691926351.8927
MEM 33.808594 1691926352.0037
MEM 35.335938 1691926352.1151
MEM 36.257812 1691926352.2198
MEM 39.257812 1691926352.3304
MEM 40.472656 1691926352.4404
MEM 41.664062 1691926352.5520
MEM 50.683594 1691926352.6629
MEM 68.671875 1691926352.7666
MEM 80.992188 1691926352.8763
MEM 96.292969 1691926352.9859
MEM 108.867188 1691926353.0974
MEM 114.566406 1691926353.2080
MEM 122.011719 1691926353.3142
MEM 127.777344 1691926353.4257
MEM 130.703125 1691926353.5354
MEM 132.804688 1691926353.6462
MEM 133.656250 1691926353.7564
MEM 138.089844 1691926353.8658
MEM 139.585938 1691926353.9756
MEM 141.921875 1691926354.0858
MEM 143.351562 1691926354.1977
MEM 146.687500 1691926354.3034
MEM 149.308594 1691926354.4148
MEM 154.050781 1691926354.5257
MEM 157.761719 1691926354.6368
MEM 162.441406 1691926354.7468
MEM 165.503906 1691926354.8573
MEM 166.878906 1691926354.9640
MEM 169.996094 1691926355.0747
MEM 173.929688 1691926355.1859
MEM 182.171875 1691926355.2968
MEM 185.167969 1691926355.4011
MEM 204.125000 1691926355.5058
MEM 211.441406 1691926355.6088
MEM 207.125000 1691926355.7189
MEM 209.765625 1691926355.8300
MEM 234.246094 1691926355.9377
MEM 274.261719 1691926356.0463
MEM 274.261719 1691926356.1570
MEM 218.410156 1691926356.2684
MEM 275.171875 1691926356.3809
MEM 267.167969 1691926356.4931
MEM 275.171875 1691926356.6024
MEM 275.171875 1691926356.7132
MEM 261.070312 1691926356.8241
MEM 275.171875 1691926356.9349
MEM 235.152344 1691926357.0466
MEM 274.000000 1691926357.1580
MEM 267.167969 1691926357.2681
MEM 275.171875 1691926357.3796
MEM 267.167969 1691926357.4867
MEM 286.472656 1691926357.5905
MEM 275.171875 1691926357.7014
MEM 257.335938 1691926357.8123
MEM 275.171875 1691926357.9229
MEM 267.167969 1691926358.0340
MEM 275.171875 1691926358.1449
MEM 267.167969 1691926358.2563
MEM 275.171875 1691926358.3672
MEM 275.171875 1691926358.4774
MEM 259.695312 1691926358.5822
MEM 275.171875 1691926358.6926
MEM 227.148438 1691926358.8029
MEM 283.175781 1691926358.9154
MEM 283.175781 1691926359.0264
MEM 278.093750 1691926359.1332
MEM 283.175781 1691926359.2441
MEM 239.640625 1691926359.3545
MEM 283.175781 1691926359.4655
MEM 275.171875 1691926359.5763
MEM 283.175781 1691926359.6823
MEM 283.175781 1691926359.7931
MEM 267.605469 1691926359.9036
MEM 283.175781 1691926360.0139
MEM 275.171875 1691926360.1250
MEM 283.175781 1691926360.2313
MEM 275.171875 1691926360.3413
MEM 282.695312 1691926360.4511
MEM 283.175781 1691926360.5623
MEM 257.898438 1691926360.6695
MEM 283.175781 1691926360.7811
MEM 275.171875 1691926360.8918
MEM 283.175781 1691926361.0034
MEM 275.171875 1691926361.1142
